time,consumption,production,production1
12:00:00,0.523,0.477,-0.477465951
12:05:00,0.526,0.474,-0.474440311
12:10:00,0.521,0.479,-0.47942913
12:15:00,0.523,0.477,-0.477348712
12:20:00,0.526,0.474,-0.474344485
12:25:00,0.527,0.473,-0.473312946
12:30:00,0.527,0.473,-0.473113089
12:35:00,0.526,0.474,-0.474390558
12:40:00,0.527,0.473,-0.472974575
12:45:00,0.528,0.472,-0.471670414
12:50:00,0.528,0.472,-0.471697827
12:55:00,0.526,0.474,-0.474210062
1:00:00,0.525,0.475,-0.475273108
1:05:00,0.529,0.471,-0.471020846
1:10:00,0.531,0.469,-0.469444377
1:15:00,0.533,0.467,-0.467456151
1:20:00,0.533,0.467,-0.467333945
1:25:00,0.532,0.468,-0.46834632
1:30:00,0.532,0.468,-0.468277322
1:35:00,0.532,0.468,-0.46776844
1:40:00,0.529,0.471,-0.47114493
1:45:00,0.529,0.471,-0.471014336
1:50:00,0.532,0.468,-0.468278597
1:55:00,0.531,0.469,-0.468629366
2:00:00,0.528,0.472,-0.472371514
2:05:00,0.532,0.468,-0.467765351
2:10:00,0.533,0.467,-0.46692697
2:15:00,0.534,0.466,-0.466289038
2:20:00,0.532,0.468,-0.468331199
2:25:00,0.531,0.469,-0.469267617
2:30:00,0.532,0.468,-0.468315489
2:35:00,0.530,0.470,-0.469687743
2:40:00,0.530,0.470,-0.469820002
2:45:00,0.530,0.470,-0.469737406
2:50:00,0.528,0.472,-0.471941612
2:55:00,0.527,0.473,-0.472569631
3:00:00,0.531,0.469,-0.468981469
3:05:00,0.530,0.470,-0.469914209
3:10:00,0.529,0.471,-0.47126363
3:15:00,0.527,0.473,-0.472869909
3:20:00,0.521,0.479,-0.478501525
3:25:00,0.520,0.480,-0.479550328
3:30:00,0.520,0.480,-0.479837601
3:35:00,0.520,0.480,-0.480276031
3:40:00,0.519,0.481,-0.480783107
3:45:00,0.521,0.479,-0.479482071
3:50:00,0.521,0.479,-0.479044822
3:55:00,0.521,0.479,-0.47880392
4:00:00,0.522,0.478,-0.478102563
4:05:00,0.518,0.482,-0.481806129
4:10:00,0.516,0.484,-0.484051318
4:15:00,0.515,0.485,-0.485030167
4:20:00,0.513,0.487,-0.486561361
4:25:00,0.512,0.488,-0.488070074
4:30:00,0.512,0.488,-0.487630415
4:35:00,0.513,0.487,-0.486626621
4:40:00,0.513,0.487,-0.487471409
4:45:00,0.512,0.488,-0.487548496
4:50:00,0.513,0.487,-0.486770771
4:55:00,0.510,0.490,-0.490015455
5:00:00,0.513,0.487,-0.487179897
5:05:00,0.511,0.489,-0.488528895
5:10:00,0.511,0.489,-0.48856651
5:15:00,0.516,0.484,-0.484449915
5:20:00,0.518,0.482,-0.482485888
5:25:00,0.516,0.484,-0.483627965
5:30:00,0.516,0.484,-0.483811151
5:35:00,0.520,0.480,-0.480298124
5:40:00,0.520,0.480,-0.47997609
5:45:00,0.520,0.480,-0.480143582
5:50:00,0.519,0.481,-0.480662104
5:55:00,0.521,0.479,-0.479322071
6:00:00,0.519,0.481,-0.481308742
6:05:00,0.514,0.486,-0.486382355
6:10:00,0.514,0.486,-0.485727869
6:15:00,0.514,0.486,-0.485815323
6:20:00,0.515,0.485,-0.485245532
6:25:00,0.513,0.487,-0.486550624
6:30:00,0.513,0.487,-0.487276902
6:35:00,0.513,0.487,-0.487166667
6:40:00,0.513,0.487,-0.487446533
6:45:00,0.512,0.488,-0.487862208
6:50:00,0.510,0.490,-0.490017138
6:55:00,0.510,0.490,-0.49032461
7:00:00,0.509,0.491,-0.490791026
7:05:00,0.500,0.500,-0.500100693
7:10:00,0.504,0.496,-0.496461906
7:15:00,0.506,0.494,-0.493543243
7:20:00,0.506,0.494,-0.494457285
7:25:00,0.508,0.492,-0.4916126
7:30:00,0.507,0.493,-0.4933618
7:35:00,0.507,0.493,-0.493181428
7:40:00,0.504,0.496,-0.495597206
7:45:00,0.507,0.493,-0.493403269
7:50:00,0.504,0.496,-0.495834224
7:55:00,0.506,0.494,-0.494480749
8:00:00,0.504,0.496,-0.496210429
8:05:00,0.498,0.502,-0.501545535
8:10:00,0.499,0.501,-0.501132314
8:15:00,0.498,0.502,-0.502051715
8:20:00,0.497,0.503,-0.503120028
8:25:00,0.496,0.504,-0.503577967
8:30:00,0.496,0.504,-0.504251545
8:35:00,0.499,0.501,-0.500826409
8:40:00,0.502,0.498,-0.498441
8:45:00,0.500,0.500,-0.499777748
8:50:00,0.504,0.496,-0.49612929
8:55:00,0.505,0.495,-0.494583248
9:00:00,0.502,0.498,-0.49845455
9:05:00,0.510,0.490,-0.490111102
